clip_id,text_id,replicate,condition,reference_text,transcript,audio_path,fact_id,conflict
critical_06_baseline_r1_competing_speech_0dB,critical_06,1,competing_speech_0dB,"Omar Reed, your Saturday appointment is at eleven fifty a m, your payment of fifty dollars is due by October twelfth, and your reference code is nine three five eight. Do not cancel the delivery.","Omar Reed, your Saturday appointment is at 11.60am, your payment at $50 is due by October 12th, and your reference code is 9358. Do not cancel the delivery.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_06_baseline_r1_competing_speech_0dB.wav,time,False
critical_06_baseline_r1_competing_speech_-5dB,critical_06,1,competing_speech_-5dB,"Omar Reed, your Saturday appointment is at eleven fifty a m, your payment of fifty dollars is due by October twelfth, and your reference code is nine three five eight. Do not cancel the delivery.","Omar Reed, your Saturday appointment is at 11 p.m. Your payment at $50 is due by October 12th when your reference code is 93858. Do not cancel the delivery.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_06_baseline_r1_competing_speech_-5dB.wav,time,False
critical_06_baseline_r1_competing_speech_-5dB,critical_06,1,competing_speech_-5dB,"Omar Reed, your Saturday appointment is at eleven fifty a m, your payment of fifty dollars is due by October twelfth, and your reference code is nine three five eight. Do not cancel the delivery.","Omar Reed, your Saturday appointment is at 11 p.m. Your payment at $50 is due by October 12th when your reference code is 93858. Do not cancel the delivery.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_06_baseline_r1_competing_speech_-5dB.wav,code,False
critical_07_baseline_r1_clean,critical_07,1,clean,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Pre-SN, your Tuesday appointment is at 1.25pm, your payment of $80 is due by November 5th, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r1_clean.wav,name,False
critical_07_baseline_r1_competing_speech_0dB,critical_07,1,competing_speech_0dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Pre-SN, your Tuesday appointment is at 1-25 p.m., your payment of $80 is due by November 6, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r1_competing_speech_0dB.wav,name,False
critical_07_baseline_r1_competing_speech_0dB,critical_07,1,competing_speech_0dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Pre-SN, your Tuesday appointment is at 1-25 p.m., your payment of $80 is due by November 6, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r1_competing_speech_0dB.wav,date,False
critical_07_baseline_r1_competing_speech_-5dB,critical_07,1,competing_speech_-5dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Prius N, your Tuesday appointment is after 1-25 p.m., your payment of $80 is due by November 2, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r1_competing_speech_-5dB.wav,name,False
critical_07_baseline_r1_competing_speech_-5dB,critical_07,1,competing_speech_-5dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Prius N, your Tuesday appointment is after 1-25 p.m., your payment of $80 is due by November 2, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r1_competing_speech_-5dB.wav,date,False
critical_07_baseline_r1_environment_0dB,critical_07,1,environment_0dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Pre-SN, your Tuesday appointment is at 1.25pm. Your payment of $80 is due by November 5th and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r1_environment_0dB.wav,name,False
critical_07_baseline_r1_environment_-5dB,critical_07,1,environment_-5dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Preasense, your Tuesday appointment is at 1.25pm. Your payment of $80 is due by November 5th, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r1_environment_-5dB.wav,name,False
critical_02_baseline_r1_environment_0dB,critical_02,1,environment_0dB,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address.","Arun Shah, your Wednesday appointment is at 10.15am, your payment of $60 is due by June 2nd, and your reference code is 8.163. Do not change the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_02_baseline_r1_environment_0dB.wav,code,False
critical_05_baseline_r1_clean,critical_05,1,clean,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at 4.10 pm, your payment of $90 is due by September 3rd, and your reference code is 6275. Do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_clean.wav,name,False
critical_05_baseline_r1_competing_speech_0dB,critical_05,1,competing_speech_0dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at 4.10 p.m., your payment of $90 is due by September 3rd, and your reference code is 6275. Do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_competing_speech_0dB.wav,name,False
critical_05_baseline_r1_competing_speech_-5dB,critical_05,1,competing_speech_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at... Song of Myself, Section 51, by Walt Whitman, read for LibraVox.org, by Alan Davis Gray.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_competing_speech_-5dB.wav,name,False
critical_05_baseline_r1_competing_speech_-5dB,critical_05,1,competing_speech_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at... Song of Myself, Section 51, by Walt Whitman, read for LibraVox.org, by Alan Davis Gray.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_competing_speech_-5dB.wav,time,False
critical_05_baseline_r1_competing_speech_-5dB,critical_05,1,competing_speech_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at... Song of Myself, Section 51, by Walt Whitman, read for LibraVox.org, by Alan Davis Gray.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_competing_speech_-5dB.wav,date,False
critical_05_baseline_r1_competing_speech_-5dB,critical_05,1,competing_speech_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at... Song of Myself, Section 51, by Walt Whitman, read for LibraVox.org, by Alan Davis Gray.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_competing_speech_-5dB.wav,amount,False
critical_05_baseline_r1_competing_speech_-5dB,critical_05,1,competing_speech_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at... Song of Myself, Section 51, by Walt Whitman, read for LibraVox.org, by Alan Davis Gray.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_competing_speech_-5dB.wav,code,False
critical_05_baseline_r1_competing_speech_-5dB,critical_05,1,competing_speech_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at... Song of Myself, Section 51, by Walt Whitman, read for LibraVox.org, by Alan Davis Gray.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_competing_speech_-5dB.wav,negation,False
critical_05_baseline_r1_environment_0dB,critical_05,1,environment_0dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at 4.10 p.m., your payment of $90 is due by September 3rd, and your reference code is 6275. Do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_environment_0dB.wav,name,False
critical_05_baseline_r1_environment_-5dB,critical_05,1,environment_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","Sarah Khan, your Thursday appointment is at 4.10 p.m. Your payment of $90 is due by September 3rd, and your reference code is 6275. Do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r1_environment_-5dB.wav,name,False
critical_01_baseline_r1_competing_speech_-5dB,critical_01,1,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3 p.m. Section 51 by Walt Whitman. Read for LibriVox.org by Alan Davis Gray. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r1_competing_speech_-5dB.wav,time,False
critical_01_baseline_r1_competing_speech_-5dB,critical_01,1,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3 p.m. Section 51 by Walt Whitman. Read for LibriVox.org by Alan Davis Gray. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r1_competing_speech_-5dB.wav,date,False
critical_01_baseline_r1_competing_speech_-5dB,critical_01,1,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3 p.m. Section 51 by Walt Whitman. Read for LibriVox.org by Alan Davis Gray. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r1_competing_speech_-5dB.wav,amount,False
critical_01_baseline_r1_competing_speech_-5dB,critical_01,1,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3 p.m. Section 51 by Walt Whitman. Read for LibriVox.org by Alan Davis Gray. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r1_competing_speech_-5dB.wav,code,False
critical_01_baseline_r0_competing_speech_-5dB,critical_01,0,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3 a.m. Your payment of $45 is due by May 4th, and your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r0_competing_speech_-5dB.wav,time,False
critical_01_baseline_r0_competing_speech_-5dB,critical_01,0,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3 a.m. Your payment of $45 is due by May 4th, and your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r0_competing_speech_-5dB.wav,date,False
critical_03_baseline_r1_competing_speech_-5dB,critical_03,1,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45 p.m. Section 51 by Walt Whitman. Read for LibriVox.org by Alan Davis Stray. Do not cancel the booking.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r1_competing_speech_-5dB.wav,date,False
critical_03_baseline_r1_competing_speech_-5dB,critical_03,1,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45 p.m. Section 51 by Walt Whitman. Read for LibriVox.org by Alan Davis Stray. Do not cancel the booking.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r1_competing_speech_-5dB.wav,amount,False
critical_03_baseline_r1_competing_speech_-5dB,critical_03,1,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45 p.m. Section 51 by Walt Whitman. Read for LibriVox.org by Alan Davis Stray. Do not cancel the booking.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r1_competing_speech_-5dB.wav,code,False
critical_05_baseline_r0_clean,critical_05,0,clean,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","SARACON, your Thursday appointment is at 4.10 pm, your payment of $90 is due by September 3rd, and your reference code is 6275. Do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r0_clean.wav,name,False
critical_05_baseline_r0_competing_speech_0dB,critical_05,0,competing_speech_0dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","SARACON, your Thursday appointment is at 4pm, your payment of $90 is due by September 3rd, and your reference code is 6275. Do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r0_competing_speech_0dB.wav,name,False
critical_05_baseline_r0_competing_speech_0dB,critical_05,0,competing_speech_0dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","SARACON, your Thursday appointment is at 4pm, your payment of $90 is due by September 3rd, and your reference code is 6275. Do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r0_competing_speech_0dB.wav,time,False
critical_05_baseline_r0_competing_speech_-5dB,critical_05,0,competing_speech_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","SARA-CON, your Thursday appointment is at 4pm, your payment is $90, due by September 3rd, your reference code is 6275, do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r0_competing_speech_-5dB.wav,name,False
critical_05_baseline_r0_competing_speech_-5dB,critical_05,0,competing_speech_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","SARA-CON, your Thursday appointment is at 4pm, your payment is $90, due by September 3rd, your reference code is 6275, do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r0_competing_speech_-5dB.wav,time,False
critical_05_baseline_r0_environment_0dB,critical_05,0,environment_0dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","SARACON, your Thursday appointment is at 4.10 pm, your payment of $90 is due by September 3rd, and your reference code is 6275. Do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r0_environment_0dB.wav,name,False
critical_05_baseline_r0_environment_-5dB,critical_05,0,environment_-5dB,"Sara Khan, your Thursday appointment is at four ten p m, your payment of ninety dollars is due by September third, and your reference code is six two seven five. Do not change the date.","SARACON, your Thursday appointment is at 4.10pm, your payment of $90 is due by September 3rd, and your reference code is 6275. Do not change the date.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_05_baseline_r0_environment_-5dB.wav,name,False
critical_07_baseline_r0_clean,critical_07,0,clean,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.",pre-ascent. Your Tuesday appointment is at 1.25 p.m. Your payment of $80 is due by November 5th and your reference code is 2847. Do not share the address.,/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r0_clean.wav,name,False
critical_07_baseline_r0_competing_speech_0dB,critical_07,0,competing_speech_0dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.",preassent. Your Tuesday appointment is at 1.25 p.m. your payment of $80 is due by November 5th and your reference code is 2847. Do not share the address.,/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r0_competing_speech_0dB.wav,name,False
critical_07_baseline_r0_competing_speech_-5dB,critical_07,0,competing_speech_-5dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","preassent, your Tuesday appointment is at 1.25pm, your payment of $80 is due by November 5th, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r0_competing_speech_-5dB.wav,name,False
critical_07_baseline_r0_environment_0dB,critical_07,0,environment_0dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Pre-SN, your Tuesday appointment is at 1.25 pm, your payment of $80 is due by November 5, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r0_environment_0dB.wav,name,False
critical_07_baseline_r0_environment_-5dB,critical_07,0,environment_-5dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Pre-SN. Your Tuesday appointment is at 1.25 p.m. Your payment of $80 is due by November 6, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r0_environment_-5dB.wav,name,False
critical_07_baseline_r0_environment_-5dB,critical_07,0,environment_-5dB,"Priya Sen, your Tuesday appointment is at one twenty five p m, your payment of eighty dollars is due by November fifth, and your reference code is two eight four seven. Do not share the address.","Pre-SN. Your Tuesday appointment is at 1.25 p.m. Your payment of $80 is due by November 6, and your reference code is 2847. Do not share the address.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_07_baseline_r0_environment_-5dB.wav,date,False
