text_id,variant,replicate,condition,reference_text,transcript,audio_path
critical_01,repeat,1,clean,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment. Again, your reference code is seven two nine four.","Mira Patel, your Tuesday appointment is at 3.30 p.m., your payment of $45 is due by May 14, and your reference code is 7294. Do not cancel the appointment. Again, your reference code is 7294.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_repeat_r1_clean.wav
critical_01,repeat,1,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment. Again, your reference code is seven two nine four.","Mira Patel, your Tuesday appointment is at 3.30pm, your payment of $45 is due by May 4th, and your reference code is 7294. Do not cancel the appointment. Again, your reference code is 7294.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_repeat_r1_competing_speech_-5dB.wav
critical_01,slow,0,clean,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3.30 p.m. Your payment of $45 is due by May 14, and your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_slow_r0_clean.wav
critical_01,slow,0,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3.30 p.m. Your payment is $45.00 and your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_slow_r0_competing_speech_-5dB.wav
critical_01,slow,1,clean,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3.30pm, your payment of $45 is due by May 14th, and your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_slow_r1_clean.wav
critical_01,slow,1,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3.30 p.m. Your payment of $45 is due by May 14, and your reference goes to 7094. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_slow_r1_competing_speech_-5dB.wav
critical_02,baseline,0,clean,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address.","Arun Shah, your Wednesday appointment is at 10.15am, your payment of $60 is due by June 2nd, and your reference code is 8163. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_baseline_r0_clean.wav
critical_02,baseline,0,competing_speech_-5dB,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address.","Arun Shah, your Wednesday appointment is at 10.15 a.m. The payment of $60 is paid by June 2nd. Your reference code is 8163. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_baseline_r0_competing_speech_-5dB.wav
critical_02,baseline,1,clean,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address.","Arun Shah, your Wednesday appointment is at 10.15 a.m., your payment of $60 is due by June 2nd, and your reference code is 8163. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_baseline_r1_clean.wav
critical_02,baseline,1,competing_speech_-5dB,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address.","Arun Shah, your Wednesday appointment is at 10.15am. The payment of $60 is due by June 2nd, and your reference code is 8163. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_baseline_r1_competing_speech_-5dB.wav
critical_02,clauses,0,clean,Arun Shah. Your appointment is Wednesday. The time is ten fifteen a m. Pay sixty dollars by June second. Your reference code is eight one six three. Do not change the address.,"Arun Shah, your appointment is Wednesday. The time is 10.15 AM. Pay $60 by June 2nd. Your reference code is 8163. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_clauses_r0_clean.wav
critical_02,clauses,0,competing_speech_-5dB,Arun Shah. Your appointment is Wednesday. The time is ten fifteen a m. Pay sixty dollars by June second. Your reference code is eight one six three. Do not change the address.,"Arun Shah, your appointment is when- Song of Myself, Section 51, by Walt Whitman, readforlibravox.org, by Alan Davis-Straig. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_clauses_r0_competing_speech_-5dB.wav
critical_02,clauses,1,clean,Arun Shah. Your appointment is Wednesday. The time is ten fifteen a m. Pay sixty dollars by June second. Your reference code is eight one six three. Do not change the address.,Your appointment is Wednesday. The time is 10.15 a.m. Pay $60 by June 2nd. Your reference code is 8163. Do not change the address.,/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_clauses_r1_clean.wav
critical_02,clauses,1,competing_speech_-5dB,Arun Shah. Your appointment is Wednesday. The time is ten fifteen a m. Pay sixty dollars by June second. Your reference code is eight one six three. Do not change the address.,"Arun Shah, your appointment is jointed- Song of Myself, Section 51, by Walt Whitman, readforlibrovox.org, by Alan Davis Drake. Do not change the address-",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_clauses_r1_competing_speech_-5dB.wav
critical_02,repeat,0,clean,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address. Again, your reference code is eight one six three.","Arun Shah, your Wednesday appointment is at 10.15 a.m. Your payment of $60 is due by June 2nd. And your reference code is 8163. Do not change the address. Again, your reference code is 8163.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_repeat_r0_clean.wav
critical_02,repeat,0,competing_speech_-5dB,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address. Again, your reference code is eight one six three.","Arun Shah, your Wednesday appointment is at 8.16am, your payment is $60.00 by June 2nd, and your reference code is 8163. Do not change the address. Again, your reference code is 8163.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_repeat_r0_competing_speech_-5dB.wav
critical_02,repeat,1,clean,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address. Again, your reference code is eight one six three.","Your Wednesday appointment is at 10.15 a.m. Your payment of $60 is due by June 2nd and your reference code is 8163. Do not change the address. Again, your reference code is 8163.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_repeat_r1_clean.wav
critical_02,repeat,1,competing_speech_-5dB,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address. Again, your reference code is eight one six three.",auto and sha your wednesday appointment song of myself section 51 by walt Whitman and your reference code is 8163 do not change the address again your reference code is 8163,/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_repeat_r1_competing_speech_-5dB.wav
critical_02,slow,0,clean,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address.","Arun Shah, your Wednesday appointment is at 10.15am, your payment of $60 is due by June 2nd, and your reference code is 8163. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_slow_r0_clean.wav
critical_02,slow,0,competing_speech_-5dB,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address.","Arun Shah, your Wednesday is at 10.51, your payment of $60 is due by June 2nd, and your reference code is 8163. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_slow_r0_competing_speech_-5dB.wav
critical_02,slow,1,clean,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address.","Attern Shaw, your Wednesday appointment is at 10.15 a.m., your payment of $60 is due by June 2nd, and your reference code is 8163. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_slow_r1_clean.wav
critical_02,slow,1,competing_speech_-5dB,"Arun Shah, your Wednesday appointment is at ten fifteen a m, your payment of sixty dollars is due by June second, and your reference code is eight one six three. Do not change the address.","Adurn Shah, your Wednesday appointment is at 10.15 AM, your payment of $50 is due for you second, and your reference code is 8163. Do not change the address.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_02_slow_r1_competing_speech_-5dB.wav
critical_03,baseline,0,clean,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45 p.m. Your payment of $75 is due by July 9th and your reference code is 3926. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r0_clean.wav
critical_03,baseline,0,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 65pm, your payment at $75 is by July 9th, and your reference code is greennights.org by Alan Davis Ray.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r0_competing_speech_-5dB.wav
critical_03,baseline,1,clean,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45pm, your payment of $75 is due by July 9th, and your reference code is 3926. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r1_clean.wav
critical_03,baseline,1,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45 p.m. Section 51 by Walt Whitman. Read for LibriVox.org by Alan Davis Stray. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r1_competing_speech_-5dB.wav
critical_03,clauses,0,clean,Nora Chen. Your appointment is Friday. The time is two forty five p m. Pay seventy five dollars by July ninth. Your reference code is three nine two six. Do not cancel the booking.,Nora Chen. Your appointment is Friday. The time is 2.45pm. Pay $75 by July 9th. Your reference code is 3926. Do not cancel the booking.,/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_clauses_r0_clean.wav
critical_03,clauses,0,competing_speech_-5dB,Nora Chen. Your appointment is Friday. The time is two forty five p m. Pay seventy five dollars by July ninth. Your reference code is three nine two six. Do not cancel the booking.,"Nora Chen, your appointment is Friday, the time is 2.45pm, pay $75 by July 9, your reference code is 3936. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_clauses_r0_competing_speech_-5dB.wav
critical_03,clauses,1,clean,Nora Chen. Your appointment is Friday. The time is two forty five p m. Pay seventy five dollars by July ninth. Your reference code is three nine two six. Do not cancel the booking.,"Nora Chen, your appointment is Friday. The time is 2.45 p.m. Pay $75 by July 9th. Your reference code is 3926. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_clauses_r1_clean.wav
critical_03,clauses,1,competing_speech_-5dB,Nora Chen. Your appointment is Friday. The time is two forty five p m. Pay seventy five dollars by July ninth. Your reference code is three nine two six. Do not cancel the booking.,"Nora Chen. Your appointment is Friday. Song of Myself, Section 51 by Walt Whitman. Read for the bravac.org by Alan Davis Drake. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_clauses_r1_competing_speech_-5dB.wav
critical_03,repeat,0,clean,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking. Again, your reference code is three nine two six.","Nora Chen. Your Friday appointment is at 2.45 p.m. Your payment of $75 is due by July 9th and your reference code is 3926. Do not cancel the booking. Again, your reference code is 3926.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_repeat_r0_clean.wav
critical_03,repeat,0,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking. Again, your reference code is three nine two six.","Nora Chen, your Friday appointment is at 2.45pm, the page is $75 is due by July 9th, and your reference code is 2926. Do not cancel the booking. Again, your reference code is 3926.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_repeat_r0_competing_speech_-5dB.wav
critical_03,repeat,1,clean,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking. Again, your reference code is three nine two six.","Nora Chen, your Friday appointment is at 2.45pm, your payment of $75 is due by July 9th, and your reference code is 3926. Do not cancel the booking. Again, your reference code is 3926.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_repeat_r1_clean.wav
critical_03,repeat,1,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking. Again, your reference code is three nine two six.","Nora Chen, your Friday appointment is at 2.45pm, your payment is $75 by July 9th, and your reference code is 3.926. Do not cancel the booking. Again, your reference code is 3.926.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_repeat_r1_competing_speech_-5dB.wav
critical_03,slow,0,clean,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45pm. Your payment of $75 is due by July 9th and your reference code is 3926. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_slow_r0_clean.wav
critical_03,slow,0,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45 p.m. Your payment of $75 is due by July 9th and your reference code is 3926. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_slow_r0_competing_speech_-5dB.wav
critical_03,slow,1,clean,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Norchen, your Friday appointment is at 2.45pm, your payment of $75 is due by July 9th, and your reference code is 3926. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_slow_r1_clean.wav
critical_03,slow,1,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Norchen, your Friday appointment is at 45 p.m. Your payment of $75 is paid by Delilah. And your reference code is 3926. Do not cancel the booking.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_03_slow_r1_competing_speech_-5dB.wav
critical_04,baseline,0,clean,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 9.20 am. Your payment of $30 is due by August 6 and your reference code is 5482. Do not share the code.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_baseline_r0_clean.wav
critical_04,baseline,0,competing_speech_-5dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 9.20am. Your appointment of $30 is due by August 6, and your reference code is 5482. Do not share the code.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_baseline_r0_competing_speech_-5dB.wav
critical_04,baseline,1,clean,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 9.20 a.m. Your payment of $30 is due by August 6th and your reference code is 5482. Do not share the code.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_baseline_r1_clean.wav
critical_04,baseline,1,competing_speech_-5dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 8 p.m. The payment of $30 is due by August 6th. And your reference is coded 5-4-8-8.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_baseline_r1_competing_speech_-5dB.wav
critical_04,clauses,0,clean,Leo Martin. Your appointment is Monday. The time is nine twenty a m. Pay thirty dollars by August sixth. Your reference code is five four eight two. Do not share the code.,"Leo Martin, your appointment is Monday. The time is 9 20 a.m. Pay $30 by August 6. Your reference code is 5 4 8 2. Do not share the code.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_clauses_r0_clean.wav
critical_04,clauses,0,competing_speech_-5dB,Leo Martin. Your appointment is Monday. The time is nine twenty a m. Pay thirty dollars by August sixth. Your reference code is five four eight two. Do not share the code.,"Leo Martin, your appointment is Monday, Song of Myself, Section 51, by Walt Whitman. Read for Leverbox.org by Alan Davis-Straight. Do not share the code.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_clauses_r0_competing_speech_-5dB.wav
critical_04,clauses,1,clean,Leo Martin. Your appointment is Monday. The time is nine twenty a m. Pay thirty dollars by August sixth. Your reference code is five four eight two. Do not share the code.,"Leo Martin, your appointment is Monday. The time is 9.20 a.m. Pay $30 by August 6. Your reference code is 5482. Do not share the code.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_clauses_r1_clean.wav
critical_04,clauses,1,competing_speech_-5dB,Leo Martin. Your appointment is Monday. The time is nine twenty a m. Pay thirty dollars by August sixth. Your reference code is five four eight two. Do not share the code.,"Leo Martin, your appointment is Monday. Song of Myself, Section 51, by Walt Whitman. Read for the revoc.org by Alan Davis-Dray. Your reference code is 5482. The past and present will.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_clauses_r1_competing_speech_-5dB.wav
critical_04,repeat,0,clean,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code. Again, your reference code is five four eight two.","Leo Martin, your Monday appointment is at 9.20 am, your payment of $30 is due by August 6th, and your reference code is 5482. Do not share the code. Again, your reference code is 5482.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_repeat_r0_clean.wav
critical_04,repeat,0,competing_speech_-5dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code. Again, your reference code is five four eight two.","Leo Martin, your Monday appointment is at $9.28, your payment of $30 due by August 6th, and your reference code is 5480, cannot share the code. Again, your reference code is 5480.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_repeat_r0_competing_speech_-5dB.wav
critical_04,repeat,1,clean,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code. Again, your reference code is five four eight two.","Leo Martin, your Monday appointment is at 9.20 a.m., your payment of $30 is due by August 6, and your reference code is 5482. Do not share the code. Again, your reference code is 5482.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_repeat_r1_clean.wav
critical_04,repeat,1,competing_speech_-5dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code. Again, your reference code is five four eight two.","Leo Martin, your Monday appointment is at 9pm, your payment of $30 is due by August 6th, and your reference code is 5482. Do not declare the code. Again, your reference code is 5482.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_repeat_r1_competing_speech_-5dB.wav
critical_04,slow,0,clean,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 9.20 a.m., your payment of $30 is due by August 6, and your reference code is 5482. Do not share the code...",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_slow_r0_clean.wav
critical_04,slow,0,competing_speech_-5dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 9.20am. Your payment of $30 is due by August 6th and your record code is 5482. Do not share the code.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_slow_r0_competing_speech_-5dB.wav
critical_04,slow,1,clean,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Vail Martin, your Monday appointment is at 9.20am. Your payment of $30 is due by August 6th and your reference code is 5482. Do not share the code.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_slow_r1_clean.wav
critical_04,slow,1,competing_speech_-5dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Vail Martin, your Monday appointment is at 9.20am, your payment of $30 is due by August 6th, and your reference code is 5-4-8-2. Do not share the cards.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_04_slow_r1_competing_speech_-5dB.wav
